종목명,티커,터치시각,밴드종류,터치가격,이격도(%),터치전기울기(%/봉),터치전각도(도),터치후기울기(%/봉),터치후각도(도),반전각도(도),반전성공여부,구름상태,피보4,피보5,구간
대한광통신,010170.KQ,2007-05-15 00:00:00+09:00,엔상5터치,7990.66162109375,32.00525655232505,1.7902104352855772,60.812556152254594,3.2955973792792492,73.12035983753556,12.307803685280966,False,양운,7135.328460693359,6936.173637977014,학습
대한광통신,010170.KQ,2009-09-08 00:00:00+09:00,엔상5터치,5349.5986328125,34.648780032675425,1.8421074849683416,61.50439035740929,-2.1722844381235635,-65.28126316936122,-126.78565352677052,True,양운,4580.894995117187,4395.160484900842,학습
대한광통신,010170.KQ,2010-02-05 00:00:00+09:00,엔하5터치,3686.885498046875,-9.079750114042335,-0.9957191890410197,-44.87710093382685,2.14285673261034,64.98310231837702,109.86020325220387,True,음운,4420.828771972656,4476.326702411358,학습
대한광통신,010170.KQ,2010-08-23 00:00:00+09:00,엔하5터치,3036.2587890625,-19.95836588038827,-0.18005573984107628,-10.20706712216241,-2.545455232048997,-68.55226893257816,-58.345201810415745,False,음운,3375.1871185302734,3451.890637911283,학습
대한광통신,010170.KQ,2010-09-27 00:00:00+09:00,엔하5터치,2135.02001953125,-30.120109767196663,1.2694882430556378,51.77182423584908,1.1290328416737119,48.46824395893503,-3.3035802769140545,False,음운,2217.0109893798826,2242.7395125169023,학습
대한광통신,010170.KQ,2011-01-14 00:00:00+09:00,엔상5터치,3007.342041015625,14.874235293368349,6.1935480497330255,80.82827047873904,-3.411949812022485,-73.6647961256766,-154.49306660441565,True,양운,2537.264093017578,2407.9913541353667,학습
대한광통신,010170.KQ,2011-08-09 00:00:00+09:00,엔하5터치,1421.740234375,-15.69488494385524,-4.081145338019433,-76.2321180758594,1.9090907625616034,62.35402282868683,138.58614090454623,True,음운,1848.744206237793,1929.6369458712065,학습
대한광통신,010170.KQ,2012-02-16 00:00:00+09:00,엔상5터치,2549.493408203125,43.422619687322765,3.5784292880002044,74.3868615568635,-0.2752298097526504,-15.388491904385916,-89.77535346124941,True,양운,2147.3095977783205,2037.7966977632964,학습
대한광통신,010170.KQ,2012-10-15 00:00:00+09:00,엔상5터치,2457.923828125,20.232586636508945,2.4819287800214545,68.05488086040182,3.8362064777332354,75.38960765695194,7.334726796550115,False,양운,2091.162991333008,2052.533157348633,학습
대한광통신,010170.KQ,2012-10-17 00:00:00+09:00,엔상5터치,2568.771240234375,29.765787221309253,4.501218116422005,77.47447581701945,0.5192312057375983,27.439747647303683,-50.03472816971577,True,양운,2225.505403137207,2131.451803940993,학습
대한광통신,010170.KQ,2012-12-26 00:00:00+09:00,엔하5터치,1402.46240234375,-37.36510107510176,-4.624411956401921,-77.79802633431066,0.8026755172887007,38.75315941439333,116.551185748704,True,음운,1807.8390563964845,1907.7871915377104,학습
대한광통신,010170.KQ,2013-10-08 00:00:00+09:00,엔하5터치,1007.2667846679688,-22.586860784983383,-2.3484846231669723,-66.93538024481013,1.0122707926620498,45.34938434677643,112.28476459158657,True,음운,1199.5029670715332,1234.499650515043,학습
대한광통신,010170.KQ,2013-10-15 00:00:00+09:00,엔하5터치,992.8084106445312,-20.143591753460797,-1.9591860554794311,-62.959504297933584,2.488039338646248,68.10367563077783,131.0631799287114,True,음운,1046.834524536133,1121.7660017747146,학습
대한광통신,010170.KQ,2015-04-13 00:00:00+09:00,엔상5터치,1113.294921875,16.166803377733025,0.33434635050779166,18.487170385858736,0.041840999749892985,2.3959151967043733,-16.091255189154364,True,양운,982.2417526245117,972.2098594078651,학습
대한광통신,010170.KQ,2015-08-24 00:00:00+09:00,엔하5터치,809.6690063476562,-14.40663598046908,-1.4545460935454448,-55.49148876312998,-0.5757570272417811,-29.93148823726082,25.56000052586916,True,음운,975.5788383483887,997.3034641559307,학습
대한광통신,010170.KQ,2015-10-28 00:00:00+09:00,엔상5터치,1320.5316162109375,23.98088342780091,0.09756158735436231,5.572232523876671,3.3189651548927994,73.23251231302443,67.66027978914776,False,양운,1041.1837203979492,1025.0941367516152,학습
대한광통신,010170.KQ,2015-11-02 00:00:00+09:00,엔상5터치,1228.9619140625,24.15106760995997,3.9903861990099068,75.93128129650697,-2.8148145507576965,-70.44174676749093,-146.37302806399788,True,양운,1119.3192192077636,1074.4240930997407,학습
대한광통신,010170.KQ,2016-04-08 00:00:00+09:00,엔상5터치,1498.8515625,21.54165782176204,1.1196910101920872,48.23184608660504,0.15974439601882387,9.075996876896163,-39.155849209708876,True,양운,1289.8075714111328,1265.1541900634766,학습
대한광통신,010170.KQ,2016-04-14 00:00:00+09:00,엔상5터치,1580.7823486328125,22.86366630264805,3.9194135557750496,75.68690541477537,1.1356465969577831,48.634286436321474,-27.052618978453893,True,양운,1406.3782119750977,1343.3545303344727,학습
대한광통신,010170.KQ,2016-04-22 00:00:00+09:00,엔상5터치,1715.7271728515625,24.077032009444878,1.1356465969577831,48.634286436321474,-2.639751345151214,-69.2521319248053,-117.88641836112677,True,양운,1518.6113403320312,1483.4663696289062,학습
대한광통신,010170.KQ,2016-09-26 00:00:00+09:00,엔상5터치,2024.1724853515625,23.23195353477276,-0.7182319939451963,-35.68711681474594,-0.4381443012948484,-23.660355417139552,12.02676139760639,False,양운,1750.6080001831056,1699.4846725463867,학습
대한광통신,010170.KQ,2016-09-28 00:00:00+09:00,엔상5터치,2038.630859375,19.335345952453174,3.371104573978779,73.47760655515545,-1.4496313594172243,-55.400902226558166,-128.8785087817136,True,양운,1809.7668472290038,1753.1938247680664,학습
대한광통신,010170.KQ,2017-04-19 00:00:00+09:00,엔상5터치,2501.298828125,34.6917676450166,3.1420762852882067,72.34576180817157,-0.5349804104364824,-28.14590857639724,-100.4916703845688,True,양운,1930.976235961914,1882.2997025709885,학습
대한광통신,010170.KQ,2017-05-12 00:00:00+09:00,엔상5터치,2713.35498046875,35.20317881169592,0.9147619197569796,42.45108779886965,1.0401454270486732,46.127305284567925,3.676217485698274,False,양운,2413.2233001708983,2379.931963407076,학습
대한광통신,010170.KQ,2017-07-19 00:00:00+09:00,엔상5터치,3715.80224609375,25.682295836930642,2.456746313105773,67.85159107636755,0.31704160969953665,17.590781425222694,-50.26080965114486,True,양운,2969.1477966308594,2893.296938382662,학습
대한광통신,010170.KQ,2017-08-29 00:00:00+09:00,엔상5터치,4809.8193359375,31.967747157758712,5.619833620856396,79.91032511823845,-1.1868142340931704,-49.88278447728781,-129.79310959552626,True,양운,3951.955715942383,3797.9184300349307,학습
대한광통신,010170.KQ,2017-12-04 00:00:00+09:00,엔상5터치,5012.23681640625,38.055546642556536,1.4253891104909637,54.94792805412155,1.5105166635316627,56.49443947555308,1.546511421431532,False,양운,4401.972689819336,4246.267130925105,학습
대한광통신,010170.KQ,2017-12-27 00:00:00+09:00,엔상5터치,6737.6025390625,49.963252302416436,0.23049508593009502,12.979702745639235,2.1666668841347634,65.22486161926618,52.24515887362694,False,양운,5617.801556396485,5543.581935002254,학습
대한광통신,010170.KQ,2018-10-29 00:00:00+09:00,엔하5터치,4690.0,-26.648096564531105,-3.4760273972602747,-73.95028103668253,2.065439672801636,64.16566446244431,138.11594549912684,True,음운,5348.5,5531.346153846154,검증
대한광통신,010170.KQ,2019-03-28 00:00:00+09:00,엔하5터치,4020.0,-20.693976658572886,-2.6202661207778917,-69.1111138782656,1.8726591760299627,61.897783002725866,131.00889688099147,True,음운,4629.3125,4730.889423076923,검증
대한광통신,010170.KQ,2019-08-05 00:00:00+09:00,엔하5터치,3255.0,-24.24418739963227,-0.013947001394700197,-0.7990525092087708,3.0870279146141217,72.05098548728786,72.85003799649664,True,음운,3636.9375,3735.9375,검증
대한광통신,010170.KQ,2019-11-21 00:00:00+09:00,엔하5터치,3290.0,-16.520768313415036,-1.195054945054945,-50.07802680701922,0.5471124620060792,28.683618740289486,78.7616455473087,True,음운,3514.875,3662.2596153846152,검증
대한광통신,010170.KQ,2019-12-02 00:00:00+09:00,엔하5터치,3220.0,-15.761010867869581,-1.2941176470588236,-52.305759533310834,1.136712749615976,48.66095103864981,100.96671057196065,True,음운,3361.875,3383.9903846153848,검증
대한광통신,010170.KQ,2020-02-03 00:00:00+09:00,엔하5터치,2510.0,-19.80389783319211,-4.166666666666667,-76.5042667192042,1.344827586206897,53.3658861240326,129.87015284323678,True,음운,3004.75,3144.903846153846,검증
대한광통신,010170.KQ,2020-03-12 00:00:00+09:00,엔하5터치,2160.0,-29.36657769676453,-3.321616871704746,-73.24514770901305,-6.6157760814249365,-81.40458959958842,-8.159441890575366,False,음운,2644.625,2717.1634615384614,검증
대한광통신,010170.KQ,2020-05-25 00:00:00+09:00,엔상5터치,4245.0,47.54220827730465,4.9593495934959355,78.59978115332171,-1.3574097135740972,-53.62102773280064,-132.22080888612237,True,양운,3414.5,3327.6923076923076,검증
대한광통신,010170.KQ,2020-09-08 00:00:00+09:00,엔상5터치,4805.0,19.948821836016638,2.0,63.43494882292201,-0.7142857142857144,-35.53767779197439,-98.9726266148964,True,양운,3734.375,3589.5673076923076,검증
대한광통신,010170.KQ,2020-09-10 00:00:00+09:00,엔상5터치,5090.0,15.211640211640212,7.622377622377622,82.52589938953669,-0.876993166287016,-41.2505409682808,-123.77644035781749,True,양운,4027.875,3810.528846153846,검증
대한광통신,010170.KQ,2021-03-09 00:00:00+09:00,엔하5터치,3000.0,-17.887261429205502,-0.7875185735512631,-38.221088890566094,2.6978998384491115,69.66233810953922,107.88342700010531,True,음운,3289.1875,3401.4182692307695,검증
대한광통신,010170.KQ,2021-06-25 00:00:00+09:00,엔상5터치,3790.0,12.65138009467019,1.639344262295082,58.616808943640976,1.5540540540540542,57.23959983693185,-1.3772091067091239,True,양운,3433.1875,3372.9567307692305,검증
대한광통신,010170.KQ,2021-06-30 00:00:00+09:00,엔상5터치,3930.0,17.06706553924112,1.7841079460269862,60.72918643846048,-1.1649214659685865,-49.356318989868214,-110.0855054283287,True,양운,3621.0625,3501.9471153846152,검증
대한광통신,010170.KQ,2022-01-25 00:00:00+09:00,엔하5터치,2030.0,-20.39084397383993,-0.9307359307359306,-42.94542711907431,2.224938875305624,65.79843985435244,108.74386697342675,True,음운,2255.875,2320.528846153846,검증
대한광통신,010170.KQ,2022-02-14 00:00:00+09:00,엔하5터치,1930.0,-18.218523401450224,-0.930232558139535,-42.929969346958906,0.281329923273657,15.712881332156623,58.642850679115526,True,음운,2110.6875,2114.8798076923076,검증
대한광통신,010170.KQ,2022-03-31 00:00:00+09:00,엔상5터치,2625.0,14.560927709716642,1.522727272727273,56.70643672915334,0.18907563025210075,10.706841279639676,-45.99959544951366,True,양운,2296.875,2249.375,검증
대한광통신,010170.KQ,2022-05-04 00:00:00+09:00,엔상5터치,2785.0,4.765272743347192,0.5844155844155845,30.302680720488098,-1.9139784946236562,-62.41419661530868,-92.71687733579678,True,양운,2350.1875,2371.2259615384614,검증
대한광통신,010170.KQ,2022-08-09 00:00:00+09:00,엔상5터치,3210.0,31.755904849962167,2.205029013539652,65.60529116670762,-1.791730474732006,-60.833254975117555,-126.43854614182517,True,양운,2734.1875,2660.264423076923,검증
