종목명,티커,터치시각,밴드종류,방향,진입가,청산가,보유봉수,청산사유,손익률(%),반전각도(도),반전성공여부,구간,이격도(%),이격도크기,이격도구간
SK하이닉스,000660.KS,2007-10-18 00:00:00+09:00,엔하5터치,롱,19410.048828125,17104.638671875,5,5봉경과,-11.877405238205686,-7.883324611152759,False,학습,-19.630494899957935,19.630494899957935,중간
SK하이닉스,000660.KS,2007-10-22 00:00:00+09:00,엔하5터치,롱,18777.91796875,18852.2890625,5,5봉경과,0.3960561222696123,102.92103964262928,True,학습,-21.12087790775178,21.12087790775178,중간
SK하이닉스,000660.KS,2008-07-07 00:00:00+09:00,엔하5터치,롱,17728.16796875,17843.529296875,5,5봉경과,0.6507233478854163,93.67871901229482,True,학습,-19.21067795798796,19.21067795798796,중간
SK하이닉스,000660.KS,2008-07-10 00:00:00+09:00,엔하5터치,롱,17458.97265625,17074.4140625,5,5봉경과,-2.202641594792434,3.331626540787248,True,학습,-19.73409377083046,19.73409377083046,중간
SK하이닉스,000660.KS,2008-07-16 00:00:00+09:00,엔하5터치,롱,16651.400390625,17881.978515625,5,5봉경과,7.390238034831201,59.66103139652293,True,학습,-22.248168009368666,22.248168009368666,중간
SK하이닉스,000660.KS,2008-10-23 00:00:00+09:00,엔하5터치,롱,7998.82470703125,8268.0146484375,5,5봉경과,3.365368679346386,157.51801935641413,True,학습,-44.20302260206904,44.20302260206904,큼
SK하이닉스,000660.KS,2011-08-18 00:00:00+09:00,엔하5터치,롱,14818.513671875,14904.669921875,5,5봉경과,0.5814095253258863,131.358146195894,True,학습,-29.98452822964247,29.98452822964247,큼
SK하이닉스,000660.KS,2015-07-14 00:00:00+09:00,엔하5터치,롱,32818.83203125,33859.3359375,5,5봉경과,3.1704477028897164,3.450621604462168,True,학습,-16.394208087984246,16.394208087984246,작음
SK하이닉스,000660.KS,2015-07-30 00:00:00+09:00,엔하5터치,롱,29914.1171875,31301.447265625,5,5봉경과,4.637710247069279,44.475181622069776,True,학습,-20.53621649963401,20.53621649963401,중간
SK하이닉스,000660.KS,2020-03-13 00:00:00+09:00,엔하5터치,롱,77416.4453125,70190.8984375,5,5봉경과,-9.333348807005134,0.1847253301981197,True,검증,-14.679301022203854,14.679301022203854,작음
SK하이닉스,000660.KS,2020-03-18 00:00:00+09:00,엔하5터치,롱,68595.65625,79293.2265625,5,5봉경과,15.595113302090466,134.2296028563017,True,검증,-23.620245748610163,23.620245748610163,중간
